Place Name,Dataset,Numero_Recensioni,Latitude,Longitude,Link_to_Place,Address
100 Montaditos,porto,7,41.1837757,-8.5997618,"https://www.google.com/maps/search/100+Montaditos+Estr.+da+Circunvala%C3%A7%C3%A3o+7612+C,+4200-162+Porto,+Portugal","Estr. da Circunvalação 7612 C, 4200-162 Porto, Portugal"
100 Montaditos Cordoaria,porto,3,41.1467853,-8.6174632,"https://www.google.com/maps/search/100+Montaditos+Cordoaria+Campo+dos+M%C3%A1rtires+da+P%C3%A1tria+38,+4050-366+Porto,+Portugal","Campo dos Mártires da Pátria 38, 4050-366 Porto, Portugal"
17th Restaurant & Bar,porto,2,,,"https://www.google.com/maps/search/17th+Restaurant+&+Bar+R.+do+Bolh%C3%A3o+223,+4000-112+Porto,+Portugal","R. do Bolhão 223, 4000-112 Porto, Portugal"
36 Folie's,porto,1,41.146607,-8.6139136,"https://www.google.com/maps/search/36+Folie's+R.+de+C%C3%A2ndido+dos+Reis+no+36,+4050-151+Porto,+Portugal","R. de Cândido dos Reis no 36, 4050-151 Porto, Portugal"
A Brasileira,porto,2,41.1469269,-8.6090956,"https://www.google.com/maps/search/A+Brasileira+R.+de+S%C3%A1+da+Bandeira+91,+4000-427+Porto,+Portugal","R. de Sá da Bandeira 91, 4000-427 Porto, Portugal"
A Cachorra,porto,1,41.1453089,-8.6119242,"https://www.google.com/maps/search/A+Cachorra+R.+Trindade+Coelho+36,+4000-069+Porto,+Portugal","R. Trindade Coelho 36, 4000-069 Porto, Portugal"
A Casa da Valentina,porto,2,41.1492817,-8.6040074,"https://www.google.com/maps/search/A+Casa+da+Valentina+Rua+da+Alegria+170,+4000-033+Porto,+Portugal","Rua da Alegria 170, 4000-033 Porto, Portugal"
A Certain café,porto,1,41.147049,-8.6004915,"https://www.google.com/maps/search/A+Certain+caf%C3%A9+R.+do+Morgado+de+Mateus+107,+4000-333+Porto,+Portugal","R. do Morgado de Mateus 107, 4000-333 Porto, Portugal"
A Despensa,porto,2,41.1472496,-8.613547,"https://www.google.com/maps/search/A+Despensa+R.+do+Conde+de+Vizela+141,+4050-640+Porto,+Portugal","R. do Conde de Vizela 141, 4050-640 Porto, Portugal"
A Esquininha,porto,1,41.1552654,-8.6091175,"https://www.google.com/maps/search/A+Esquininha+R.+Jo%C3%A3o+das+Regras+122,+4000-290+Porto,+Portugal","R. João das Regras 122, 4000-290 Porto, Portugal"
A Favorita do Bolhão,porto,1,41.150149,-8.607798,"https://www.google.com/maps/search/A+Favorita+do+Bolh%C3%A3o+Rua+de+Fernandes+Tom%C3%A1s+783,+4000-218+Porto,+Portugal","Rua de Fernandes Tomás 783, 4000-218 Porto, Portugal"
A Fábrica da Picaria - Cervejaria Artesanal,porto,8,41.1495443,-8.6128129,"https://www.google.com/maps/search/A+F%C3%A1brica+da+Picaria+-+Cervejaria+Artesanal+Rua+da+Picaria+72,+4050-477+Porto,+Portugal","Rua da Picaria 72, 4050-477 Porto, Portugal"
A Grade,porto,1,41.1405556,-8.6149472,"https://www.google.com/maps/search/A+Grade+R.+de+S%C3%A3o+Nicolau+9,+4050-561+Porto,+Portugal","R. de São Nicolau 9, 4050-561 Porto, Portugal"
A Loja dos Pastéis de Chaves,porto,1,,,"https://www.google.com/maps/search/A+Loja+dos+Past%C3%A9is+de+Chaves+R.+da+Firmeza+476,+4000-453+Porto,+Portugal","R. da Firmeza 476, 4000-453 Porto, Portugal"
A Máscara,porto,1,41.1550248,-8.6799605,"https://www.google.com/maps/search/A+M%C3%A1scara+Av.+do+Brasil+308,+4150-152+Porto,+Portugal","Av. do Brasil 308, 4150-152 Porto, Portugal"
A Padaria Portuguesa,porto,5,,,"https://www.google.com/maps/search/A+Padaria+Portuguesa+R.+Prof.+Bento+de+Jesus+Cara%C3%A7a+235,+4200-318+Porto,+Portugal","R. Prof. Bento de Jesus Caraça 235, 4200-318 Porto, Portugal"
A Padoca,porto,1,,,"https://www.google.com/maps/search/A+Padoca+Rua+do+Ros%C3%A1rio+13,+4050-522+Porto,+Portugal","Rua do Rosário 13, 4050-522 Porto, Portugal"
